depths	NGAM
11.94	34.93137219
11.95	36.36479225
11.96	34.72724306
11.97	33.77162968
11.98	36.63756658
11.99	34.38582353
12	33.15743582
12.01	31.72491898
12.02	33.36246818
12.03	33.36246818
12.04	32.40775803
12.05	30.22375695
12.06	29.2690468
12.07	30.22375695
12.08	31.04298316
12.09	29.61046632
12.1	31.45214465
12.11	34.31808156
12.12	32.5441452
12.13	33.97666203
12.14	33.02104866
12.15	30.15601498
12.16	32.33911283
12.17	33.77162967
12.18	35.06775935
12.19	33.77162968
12.2	33.49885535
12.21	32.33188703
12.22	34.24221055
12.23	32.80879049
12.24	33.6280167
12.25	32.26324183
12.26	30.83072499
12.27	29.46595012
12.28	26.12310975
12.29	25.03110921
12.3	24.69059291
12.31	24.21278622
12.32	23.25717284
12.33	22.16607553
12.34	20.255752
12.35	17.52620226
12.36	16.5714921
12.37	14.9339429
12.38	13.23587754
12.39	11.8033607
12.4	11.8033607
12.41	9.620262844
12.42	9.620262842
12.43	10.0971663
12.44	9.142456154
12.45	9.620262842
12.46	11.05277968
12.47	9.960779142
12.48	10.02942434
12.49	10.98413449
12.5	10.23355347
12.51	10.30219866
12.52	10.78000535
12.53	10.84774732
12.54	12.12129634
12.55	14.85084608
12.56	14.85084609
12.57	16.28336292
12.58	16.28336293
12.59	17.6481378
12.6	18.26142842
12.61	19.42929997
12.62	18.95149328
12.63	17.51897644
12.64	18.47368659
12.65	17.92813794
12.66	17.45033125
12.67	16.01781441
12.68	16.56336306
12.69	16.0864596
12.7	16.0864596
12.71	15.28981405
12.72	13.51587768
12.73	13.99368437
12.74	12.56116753
12.75	12.49252233
12.76	10.58219881
12.77	9.968908177
12.78	9.278843319
12.79	8.391875136
12.8	8.391875136
12.81	7.436261759
12.82	7.914068446
12.83	8.5282623
12.84	9.006068989
12.85	8.869681825
12.86	9.824391975
12.87	10.23355347
12.88	10.30219866
12.89	9.346585288
12.9	8.937423794
12.91	9.893037171
12.92	10.6887795
12.93	11.23432816
12.94	11.18103781
12.95	10.29497286
12.96	10.84052151
12.97	11.79523166
12.98	12.34168355
12.99	12.34168355
13	12.20529638
13.01	13.16000654
13.02	12.20529639
13.03	11.79523166
13.04	11.3183282
13.05	10.77187632
13.06	11.72748969
13.07	12.27303835
13.08	13.22865173
13.09	12.90981286
13.1	12.90981286
13.11	12.48529652
13.12	12.48529652
13.13	11.87110267
13.14	11.39329598
13.15	10.84774732
13.16	10.36994063
13.17	10.84774732
13.18	9.960779141
13.19	10.50723102
13.2	9.960779141
13.21	9.482972452
13.22	10.02942434
13.23	10.50723102
13.24	9.960779141
13.25	9.142456154
13.26	11.53058637
13.27	12.07613503
13.28	12.07613503
13.29	12.80413539
13.3	12.80413539
13.31	13.17536138
13.32	14.2664587
13.33	15.22207208
13.34	15.97265309
13.35	17.12426657
13.36	18.96684813
13.37	20.87717166
13.38	21.35497835
13.39	23.67446337
13.4	23.87949573
13.41	25.24336737
13.42	25.5847869
13.43	24.42504439
13.44	25.24336738
13.45	29.48853077
13.46	30.39807961
13.47	31.83149968
13.48	32.68053236
13.49	33.22608102
13.5	33.70388771
13.51	32.61188717
13.52	31.86943518
13.53	31.39162849
13.54	31.39162849
13.55	30.91382181
13.56	29.48130497
13.57	30.70969267
13.58	30.23188598
13.59	30.43601512
13.6	29.20853064
13.61	29.20853064
13.62	30.69433782
13.63	31.23988648
13.64	33.15021001
13.65	35.27279171
13.66	36.36479225
13.67	36.36479225
13.68	36.36479225
13.69	38.38079325
13.7	38.65356758
13.71	40.08608442
13.72	41.99731118
13.73	44.38453817
13.74	44.38453817
13.75	46.77266839
13.76	47.52324941
13.77	48.95576625
13.78	48.0010561
13.79	43.90763471
13.8	43.0884085
