DEPTH	NGAM
21.02	10.3
21.03	9.87
21.04	9.58
21.05	9.44
21.06	9.3
21.07	9.15
21.08	9.01
21.09	8.87
21.1	8.72
21.11	8.58
21.12	8.44
21.13	8.58
21.14	8.51
21.15	8.44
21.16	8.37
21.17	8.29
21.18	8.22
21.19	8.15
21.2	8.08
21.21	8.01
21.22	7.79
21.23	7.65
21.24	7.51
21.25	7.36
21.26	7.22
21.27	7.08
21.28	6.94
21.29	6.79
21.3	6.65
21.31	6.72
21.32	7.58
21.33	8.44
21.34	9.3
21.35	10.15
21.36	11.01
21.37	11.87
21.38	12.73
21.39	13.59
21.4	14.37
21.41	14.66
21.42	14.94
21.43	15.23
21.44	15.52
21.45	15.8
21.46	16.09
21.47	16.37
21.48	16.66
21.49	16.16
21.5	16.09
21.51	16.02
21.52	15.94
21.53	15.87
21.54	15.8
21.55	15.73
21.56	15.66
21.57	15.59
21.58	16.02
21.59	16.45
21.6	17.23
21.61	18.02
21.62	18.8
21.63	19.59
21.64	20.38
21.65	21.16
21.66	21.95
21.67	22.31
21.68	22.67
21.69	21.95
21.7	21.24
21.71	20.52
21.72	19.81
21.73	19.09
21.74	18.38
21.75	17.66
21.76	16.95
21.77	15.87
21.78	14.8
21.79	13.66
21.8	12.51
21.81	11.37
21.82	10.22
21.83	9.08
21.84	7.94
21.85	6.79
21.86	6.72
21.87	6.65
21.88	7.08
21.89	7.51
21.9	7.94
21.91	8.37
21.92	8.79
21.93	9.22
21.94	9.65
21.95	10.08
21.96	10.58
21.97	11.51
21.98	12.44
21.99	13.37
22	14.3
22.01	15.23
22.02	16.16
22.03	17.09
22.04	18.02
22.05	18.45
22.06	18.59
22.07	18.73
22.08	18.88
22.09	19.02
22.1	19.16
22.11	19.31
22.12	19.45
22.13	19.59
22.14	19.31
22.15	19.02
22.16	19.09
22.17	19.16
22.18	19.23
22.19	19.31
22.2	19.38
22.21	19.45
22.22	19.52
22.23	19.88
22.24	20.23
22.25	20.09
22.26	19.95
22.27	19.81
22.28	19.66
22.29	19.52
22.3	19.38
22.31	19.23
22.32	19.09
22.33	18.59
22.34	17.59
22.35	16.59
22.36	15.59
22.37	14.59
22.38	13.59
22.39	12.58
22.4	11.58
22.41	10.58
22.42	10.08
22.43	9.58
22.44	9.08
22.45	8.58
22.46	8.08
22.47	7.58
22.48	7.08
22.49	6.58
22.5	6.08
22.51	6.08
22.52	6.58
22.53	7.08
22.54	7.58
22.55	8.08
22.56	8.58
22.57	9.08
22.58	9.58
22.59	10.08
22.6	10.58
22.61	10.8
22.62	11.01
22.63	11.23
22.64	11.44
22.65	11.65
22.66	11.87
