Depth	Gamma								
82.9	130.1								
83.1	134.6								
83.2	137.7								
83.3	137.7								
83.5	136.1								
83.6	135.4								
83.9	136.1								
84	139.9								
84	142.2								
84	143.7								
84.1	148.3								
84.2	152.8								
84.3	151.3								
84.4	147.5								
84.5	143								
84.7	139.9								
84.7	135.4								
84.7	135.4								
84.8	133.9								
84.8	133.9								
84.9	133.9								
84.9	134.6								
84.9	137.7								
85	135.4								
85.1	133.1								
85.2	130.8								
85.4	128.6								
85.6	127								
85.6	126.3								
85.6	125.5								
85.7	126.3								
85.8	130.1								
85.9	132.3								
85.9	132.3								
86	132.3								
86.1	131.6								
86.1	130.8								
86.2	127.8								
86.2	126.3								
86.3	125.5								
86.4	124.8								
86.6	127								
86.6	130.8								
86.7	132.3								
86.7	132.3								
86.9	130.8								
87	130.8								
87.3	131.6								
87.5	131.6								
87.6	131.6								
87.7	130.8								
87.9	131.6								
87.9	133.9								
87.9	135.4								
88	132.3								
88.2	129.3								
88.3	128.6								
88.5	128.6								
88.7	130.1								
88.8	131.6								
88.9	135.4								
89	136.1								
89.1	133.1								
89.2	130.8								
89.4	130.1								
89.4	130.1								
89.6	130.1								
89.9	133.9								
89.9	133.9								
90.1	134.6								
90.1	134.6								
90.2	137.7								
90.5	142.2								
90.6	146.8								
90.6	149.8								
90.7	149.8								
90.7	146.8								
90.8	146								
90.8	144.5								
90.9	143								
90.9	139.9								
91	137.7								
91.1	133.9								
91.2	131.6								
91.4	130.8								
91.6	133.9								
91.8	133.9								
91.8	132.3								
92	131.6								
92.1	131.6								
92.1	136.1								
92.2	143								
92.3	146								
92.5	143.7								
92.6	140.7								
92.8	136.9								
93	136.9								
93.2	139.2								
93.2	140.7								
93.2	140.7								
93.4	144.5								
93.5	146								
93.6	143.7								
93.6	140.7								
93.7	136.9								
93.8	136.9								
93.8	136.9								
94	136.9								
94.1	136.9								
94.2	136.9								
94.3	140.7								
94.6	142.2								
94.7	143								
94.7	143								
94.8	140.7								
94.8	139.9								
94.9	138.4								
95.1	133.1								
95.2	132.3								
95.2	131.6								
95.2	129.3								
95.3	124.8								
95.5	124.8								
95.7	127.8								
95.7	127.8								
95.9	129.3								
95.9	131.6								
96	131.6								
96.2	130.1								
96.3	127.8								
96.3	127								
96.4	127								
96.5	127								
96.7	129.3								
96.7	132.3								
96.8	134.6								
96.9	132.3								
96.9	131.6								
96.9	130.1								
97	128.6								
97.1	128.6								
97.1	127.8								
97.2	127.8								
97.3	127								
97.3	127								
97.4	125.5								
97.5	125.5								
97.6	124.8								
97.6	127								
97.7	125.5								
97.7	124								
97.7	123.2								
97.8	121								
97.8	119.5								
97.8	118.7								
97.9	116.4								
97.9	115.7								
98	114.9								
98.1	114.9								
98.2	115.7								
98.2	118.7								
98.2	125.5								
98.4	127.8								
98.4	128.6								
98.5	130.8								
98.5	135.4								
98.5	137.7								
98.6	140.7								
98.7	141.4								
98.7	141.4								
98.7	137.7								
98.7	135.4								
98.7	134.6								
98.7	130.8								
98.8	128.6								
98.8	127								
98.9	125.5								
98.9	122.5								
98.9	121.7								
98.9	121.7								
98.9	121								
98.9	120.2								
99	120.2								
99.1	120.2								
99.2	122.5								
99.3	127								
99.4	127								
99.5	127								
99.5	124.8								
99.5	124								
99.6	123.2								
99.7	122.5								
99.7	122.5								
99.8	122.5								
99.8	122.5								
99.9	124								
100	126.3								
100.1	127								
100.2	129.3								
100.3	131.6								
100.5	131.6								
100.5	131.6								
100.6	133.1								
100.7	133.1								
100.6	133.1								
100.5	133.1								
100.5	131.6								
100.5	131.6								
100.5	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.4	131.6								
100.3	131.6								
100.3	131.6								
100.3	131.6								
100.3	131.6								
100.3	131.6								
100.3	131.6								
100.3	131.6								
100.3	131.6								
100.3	131.6								
100.3	131.6								
99.9	122.5								
100.1	124.8								
100.1	126.3								
100.1	127								
100.4	128.6								
100.4	129.3								
100.5	130.1								
100.6	130.8								
100.6	131.6								
100.5	135.4								
100.6	136.1								
100.7	136.1								
100.7	136.1								
100.9	136.1								
101	134.6								
101	132.3								
101	132.3								
101.1	130.1								
101.1	128.6								
101.2	127.8								
101.3	127.8								
101.3	127.8								
101.4	130.1								
101.4	131.6								
101.5	132.3								
101.5	132.3								
101.6	133.1								
101.7	134.6								
101.7	134.6								
101.8	133.9								
101.8	131.6								
101.9	129.3								
102	128.6								
102.1	127								
