Depth	Gamma
169.6	99.9
169.6	100.5
169.8	102.1
169.8	102.6
169.9	103.7
169.9	104.8
170.1	104.8
170.2	103.2
170.2	101.6
170.2	100.5
170.3	99.9
170.5	98.9
170.5	99.4
170.7	101
170.9	102.1
170.9	103.7
171	102.1
171	101
171.1	98.9
171.1	98.3
171.2	96.7
171.2	95.1
171.3	94
171.3	93.4
171.4	91.3
171.5	92.4
171.5	95.1
171.5	95.6
171.6	98.9
171.6	101
171.7	104.3
171.7	104.8
171.7	106.4
171.8	107.5
171.9	109.1
172	110.2
172	110.8
172.1	111.3
172.2	111.8
172.2	111.8
172.2	109.1
172.3	104.8
172.3	103.7
172.3	101
172.3	100.5
172.4	101
172.6	102.6
172.7	103.2
172.8	102.6
172.9	101.6
172.9	100.5
172.9	100.5
172.9	100.5
173	99.4
173.1	98.9
173.2	98.3
173.3	98.3
173.6	100.5
173.8	100.5
173.9	101
173.9	103.2
174	103.2
174	104.8
174.1	106.4
174.1	108
174.2	109.1
174.3	109.7
174.4	110.2
174.4	110.2
174.5	107.5
174.5	104.8
174.6	102.6
174.6	100.5
174.6	100.5
174.7	99.4
174.9	98.3
174.9	98.3
174.9	97.8
175	97.8
175	97.2
175	96.7
175	95.6
175.1	95.6
175.1	95.6
175.2	95.1
175.2	95.1
175.2	94.5
175.3	94
175.3	93.4
175.3	92.4
175.4	91.8
175.5	92.4
175.5	94
175.6	95.6
175.6	95.1
175.6	95.1
175.6	94
175.9	94
175.9	94
175.9	94
176.1	92.9
176.1	95.1
176.1	98.9
176.1	99.9
176.1	101.6
176.2	103.7
176.3	105.9
176.3	107.5
176.4	110.2
176.4	110.2
176.5	110.8
176.5	107.5
176.6	105.9
176.6	104.8
176.6	103.2
176.6	102.6
176.7	101.6
176.8	101
176.8	100.5
176.9	98.3
177	97.2
177.1	96.2
177.1	95.1
177.1	93.4
177.2	94
177.2	94.5
177.3	96.2
177.4	95.6
177.4	95.1
177.4	93.4
177.5	92.9
177.5	92.9
177.6	93.4
177.6	95.6
177.6	96.2
177.7	96.7
177.8	95.6
177.8	95.6
177.9	94
178	94
178.1	95.1
178.2	97.8
178.2	97.8
178.3	99.4
178.3	100.5
178.3	100.5
178.4	99.9
178.5	97.2
178.5	96.7
178.6	96.2
178.7	96.2
178.8	96.7
178.8	97.8
178.9	99.4
178.9	99.4
179	97.2
179	96.7
179	96.7
179	96.7
179.2	96.7
179.4	95.6
179.4	94
179.5	95.1
179.5	95.6
179.6	97.8
179.6	99.4
179.6	101
179.6	102.1
179.7	103.7
179.7	104.3
179.7	105.3
179.7	106.4
179.7	108
179.7	108.6
179.8	111.3
180	111.3
180	111.8
180	111.8
180.1	110.8
180.2	109.7
180.3	108
180.3	105.9
180.3	105.3
180.3	103.7
180.3	103.7
180.4	103.2
180.4	102.1
180.4	100.5
180.4	99.9
180.5	99.4
180.5	99.4
180.5	99.4
180.6	99.4
180.6	99.9
180.6	100.5
180.7	101.6
180.7	102.1
180.7	102.1
180.9	102.6
180.9	103.2
181.1	104.8
181.1	103.2
181.1	101.6
181.1	100.5
181.1	99.9
181.1	99.4
181.1	98.3
181.2	98.3
181.3	99.9
181.3	99.9
181.4	101.6
181.5	103.2
181.5	103.7
181.6	104.8
181.7	104.3
181.9	102.6
182.1	102.6
182.2	101
182.3	100.5
182.4	103.7
182.5	104.8
182.5	103.2
182.6	102.1
182.7	100.5
182.8	99.9
182.8	99.9
182.8	100.5
182.8	101
183	101
183	101
183.1	98.9
183.1	97.8
183.2	96.7
183.5	96.2
183.6	95.6
183.7	95.1
183.7	94.5
183.9	94.5
183.9	94.5
184	95.1
184.1	96.7
184.1	97.2
184.2	98.3
184.3	98.9
184.4	98.9
184.4	97.2
184.4	97.2
184.5	97.2
184.6	97.2
184.6	97.8
184.6	98.9
184.6	100.5
184.7	101
184.7	101
184.8	101
185	100.5
185	98.9
185.1	97.2
185.2	96.2
185.3	95.6
185.3	95.1
185.5	95.6
185.7	98.3
185.7	98.3
185.8	98.3
