Depth	Gamma
130.6	77.1
130.8	78.9
130.9	79.5
131	80.4
131.1	82.3
131.3	84.4
131.4	84.7
131.4	83.5
131.5	81.3
131.5	80.7
131.5	79.8
131.8	79.5
131.9	80.4
131.9	80.7
132	80.1
132.2	78.6
132.4	77.1
132.6	75.6
132.8	75.9
132.9	77.1
132.9	80.1
133	82.6
133	85
133	85.3
133	87.7
133.1	88.6
133.4	92
133.4	93.2
133.4	93.5
133.5	96.2
133.7	97.7
133.8	99.9
133.9	100.5
133.9	99.9
134.1	98
134.2	94.1
134.3	91.1
134.4	88.3
134.4	85
134.4	83.2
134.4	82
134.5	78.6
134.5	76.8
134.5	75
134.5	74.1
134.6	72.8
134.8	71.6
134.9	72.5
134.9	73.1
135.1	75
135.1	75.9
135.3	76.5
135.3	76.2
135.4	75.3
135.5	74.7
135.7	74.4
135.8	75.9
135.8	75.9
136	77.4
136.3	79.5
136.4	79.5
136.5	79.5
136.7	78
136.7	77.4
136.9	76.5
136.9	75
137	73.5
137	72.5
137.1	72.2
137.1	71.9
137.3	71.6
137.6	72.2
137.6	72.2
137.8	72.8
138	73.1
138.2	73.1
138.3	71.9
138.3	71.9
138.4	70.4
138.6	69.8
138.8	69.5
138.8	71.9
138.8	71.9
138.8	74.4
138.8	75.3
139.1	75.6
139.2	73.5
139.2	73.1
139.3	75.6
139.3	76.8
139.5	79.2
139.7	80.7
139.8	82
140	81.6
140.1	80.1
140.4	79.5
140.6	81
140.7	83.2
140.9	85
141	85.9
141	86.2
141.1	86.8
141.1	87.4
141.3	88
141.5	88.9
141.6	88.9
141.9	87.4
142	86.8
142	85.9
142.1	85.6
142.3	87.4
142.3	87.7
142.3	89.2
142.3	89.5
142.3	91.4
142.4	92.3
142.5	92.6
143	89.5
143.1	87.7
143.2	86.2
143.3	84.7
143.3	84.1
143.4	83.8
143.5	83.5
143.6	83.2
143.6	82.6
143.6	81.6
143.7	80.4
143.7	80.1
144	81.3
144.1	82.9
144.1	82.9
144.4	83.5
144.6	83.8
144.8	85.3
145	86.5
145.1	88
145.2	89.5
145.2	90.5
145.3	90.1
145.4	89.5
145.4	88.9
145.5	87.1
145.6	87.4
145.7	89.8
145.7	90.8
145.9	92.3
146	92.3
146.2	91.1
146.2	91.1
146.2	90.1
146.4	89.5
146.5	89.2
146.6	88.3
146.6	87.1
146.6	86.8
146.7	86.2
146.8	85.9
147.3	85.3
147.3	85
147.6	84.7
147.8	84.7
148	87.1
148	88.9
148	89.2
148.1	90.5
148.2	91.4
148.3	90.8
148.3	90.8
148.4	90.1
148.5	89.8
148.5	89.8
148.7	90.1
148.9	90.1
148.9	89.8
149	89.2
149	88.3
149.2	88
149.2	88
149.4	87.4
149.4	87.1
149.4	87.1
149.6	86.2
149.6	85.3
149.6	84.7
149.7	86.2
149.7	86.5
149.7	86.8
149.9	87.4
149.9	87.7
150.1	88.6
150.2	89.2
150.3	90.1
150.4	90.5
150.5	91.7
150.6	92
150.6	92.3
150.8	92.3
151	93.2
151.1	93.5
151.2	92.6
151.2	92.3
151.2	91.4
151.2	89.8
151.3	87.4
151.3	87.4
151.5	87.4
151.6	86.5
151.7	85.3
151.7	84.7
151.7	83.8
151.8	82.9
151.8	82.6
151.8	82.9
152	84.1
152.2	84.4
152.3	84.4
152.3	84.4
152.5	86.5
152.5	89.2
152.6	91.1
152.7	91.4
152.9	92.9
152.9	94.4
153.1	95.9
153.1	96.2
153.1	98
153.2	99.6
153.3	99.6
153.4	100.2
153.5	100.8
153.6	99
153.6	98.6
153.8	97.4
153.9	97.4
154	95
154.1	93.8
154.1	93.8
154.2	94.1
154.2	94.4
154.3	94.4
154.5	93.8
154.6	93.5
154.6	93.5
154.7	93.5
154.8	93.2
154.9	93.5
155.1	93.8
155.2	93.8
155.2	92.9
155.2	91.7
155.4	90.5
155.4	90.1
155.5	88.9
155.5	87.7
155.6	86.2
155.6	85.3
155.7	85.3
155.7	85.6
155.7	87.1
155.7	89.2
155.8	91.1
155.8	91.4
155.9	91.7
156.1	91.7
156.2	92.6
156.4	95
156.5	95.6
156.6	93.8
156.6	92
156.6	91.7
156.6	89.8
156.6	88
156.8	87.1
157	88
157	88
157.1	89.5
157.1	91.1
157.1	92.3
157.1	93.5
157.2	95
157.2	95
157.5	95.3
157.5	95.3
157.6	95.6
157.6	97.7
157.8	100.2
157.8	101.7
158.1	102.3
158.1	99.9
158.2	96.5
158.2	93.2
158.2	92.6
158.3	91.7
158.3	90.1
158.4	88.6
158.6	88
158.7	88.6
158.7	89.8
158.8	89.8
158.9	90.1
159.1	89.2
159.1	88.3
159.3	87.4
159.5	86.2
159.6	85.3
159.6	85
159.7	85.3
159.8	87.4
159.9	88.6
159.9	88.9
160	91.1
160	92.6
160.1	92.9
160.1	92.9
160.3	92.3
160.3	90.8
160.4	89.2
160.6	89.2
160.7	90.8
160.7	91.1
160.9	91.4
161.1	92.3
161.2	92.3
