Depth	Gamma
130.2	106.8
130.4	109.4
130.4	110.9
130.4	110.9
130.6	108.9
130.6	106.8
130.8	108.4
130.9	110.4
130.9	111.4
131.1	112
131.2	113.5
131.4	116.6
131.4	118.1
131.5	116.6
131.7	114.5
131.8	111.4
131.8	110.9
131.8	107.9
131.8	105.3
131.8	103.8
131.9	102.7
131.9	100.7
132	100.2
132.1	100.7
132.3	99.1
132.3	97.1
132.4	96.6
132.5	98.6
132.5	101.7
132.5	102.2
132.5	103.8
132.6	105.3
132.8	106.3
132.8	106.3
132.9	103.8
133	103.2
133	101.2
133.1	98.6
133.1	97.1
133.3	101.2
133.3	103.2
133.4	106.3
133.5	107.9
133.5	108.9
133.6	108.9
133.8	109.9
133.8	109.9
133.8	107.9
133.9	105.3
134	102.2
134	100.7
134	100.2
134.1	98.6
134.2	98.1
134.2	98.6
134.4	102.2
134.4	104.3
134.5	104.8
134.6	104.8
134.8	102.7
134.9	100.2
135	99.7
135.1	100.2
135.3	101.2
135.5	101.7
135.6	101.2
135.7	100.7
135.7	100.2
135.8	100.7
135.8	101.7
135.9	103.2
136	104.8
136.1	107.3
136.2	108.9
136.2	109.4
136.2	109.9
136.4	110.9
136.4	110.9
136.5	110.9
136.6	108.9
136.6	105.8
136.7	103.8
136.8	102.2
136.9	102.7
136.9	103.2
136.9	105.3
137.1	107.9
137.2	108.9
137.3	108.9
137.5	108.9
137.6	109.4
137.7	110.9
137.8	111.4
137.8	112.5
138	113.5
138	114
138	114
138.1	116.6
138.3	117.1
138.3	114
138.3	111.4
138.3	110.4
138.3	109.9
138.4	108.9
138.6	108.9
138.7	106.8
138.7	106.3
138.9	104.8
139	103.8
139.1	102.7
139.2	101.2
139.3	101.2
139.4	100.2
139.4	99.7
139.4	99.7
139.3	104.3
139.4	106.8
139.6	108.9
139.7	108.9
139.7	109.4
139.9	109.9
139.9	109.9
140	109.9
140.1	110.9
140.1	110.9
140.2	111.4
140.2	111.4
140.3	113.5
140.4	114.5
140.4	115.6
140.6	114.5
140.6	114
140.7	113.5
140.9	114
141	116.1
141.1	118.6
141.3	119.1
141.3	119.1
141.4	116.1
141.4	114
141.5	113.5
141.5	112.5
141.6	112
141.7	112.5
141.8	115
141.8	119.1
141.9	120.7
142	122.2
142.1	123.8
142.1	124.8
142.2	125.8
142.4	123.8
142.4	123.2
142.4	120.7
142.4	118.6
142.6	116.6
142.8	119.1
142.8	122.7
142.9	123.8
143	124.8
143.1	126.8
143.2	127.9
143.2	128.9
143.2	130.4
143.1	132.5
143.1	132.5
143.4	132.5
143.5	132
143.5	129.9
143.6	126.3
143.7	124.8
143.7	122.2
143.8	121.2
143.8	121.2
143.8	119.7
143.9	118.6
144	117.6
144.2	117.6
144.2	117.6
144.4	117.6
144.4	117.6
144.5	116.6
144.6	115
144.6	114
144.7	112
144.7	111.4
144.7	110.9
144.7	109.9
144.8	108.9
144.9	107.9
145.1	106.8
145.1	104.8
145.1	106.8
145.2	108.4
145.2	110.4
145.4	110.4
145.4	110.9
145.4	110.9
145.5	112.5
145.6	113
145.6	113
145.7	113
145.8	115.6
145.9	117.6
145.9	118.1
145.9	118.6
146	119.7
146.1	119.7
146.2	119.7
146.3	119.1
146.4	117.1
146.4	116.6
146.5	114
146.5	111.4
146.6	108.4
146.8	107.3
146.8	107.9
146.8	108.9
146.9	108.9
147.1	105.3
147.1	103.8
147.2	103.8
147.3	103.8
147.3	104.8
147.3	105.3
147.4	107.3
147.4	107.9
147.5	110.4
147.6	112
147.7	113
147.9	112.5
148	107.3
148	106.8
148.1	105.3
148.2	103.2
148.3	100.7
148.5	98.1
148.6	98.1
148.7	98.6
148.7	99.7
148.7	100.2
148.8	101.7
149	102.2
149	102.2
149.1	101.2
149.1	102.2
149.3	102.2
149.5	99.7
149.5	99.1
149.6	99.7
149.7	102.7
149.9	104.3
150	106.3
150	107.3
150	107.9
150	109.9
150.2	110.9
150.2	110.9
150.4	108.9
150.5	106.3
150.7	105.3
150.8	105.7
150.9	105.7
151	105.7
151.1	105.7
151.4	106.3
151.5	110.6
151.5	112.2
151.5	115.4
151.5	119.2
151.6	122.4
151.7	126.7
151.8	130.5
151.8	134.3
151.8	137.5
151.8	141.8
151.8	142.4
151.8	145.1
151.8	147.2
151.8	148.8
151.8	151
151.8	151.5
151.8	152.6
151.8	155.8
151.8	156.9
152	158.5
152	159.1
152	159.1
