Depth	Gamma
192.8	120.7
192.8	118.9
192.9	116.5
192.9	115.9
193.1	115.3
193.1	115.3
193.2	114.7
193.3	113.5
193.4	115.3
193.4	117.1
193.5	119.5
193.5	119.5
193.6	117.1
193.6	115.9
193.6	115.9
193.7	115.3
193.7	114.7
193.7	112.9
193.8	112.3
193.8	112.3
193.8	111.7
193.9	113.5
193.9	111.1
194.2	108.8
194.2	108.2
194.4	110
194.4	110
194.5	111.1
194.4	114.1
194.6	114.7
194.7	114.7
194.7	114.7
194.8	114.1
194.8	112.3
194.9	111.1
195	111.1
195.2	111.1
195.2	111.1
195.2	111.1
195.3	111.1
195.3	110
195.4	108.8
195.6	110.6
195.6	113.5
195.6	114.1
195.6	115.9
195.7	116.5
195.8	117.1
195.9	115.9
195.9	114.7
196	114.1
196	112.3
196.1	111.1
196.1	110
196.1	108.2
196.2	106.4
196.3	105.2
196.4	107
196.5	108.2
196.5	108.8
196.7	109.4
196.9	110
197	110
197.1	110
197.4	110.6
197.6	112.3
197.6	112.9
197.6	114.1
197.6	116.5
197.7	118.9
197.7	119.5
197.8	118.3
197.9	117.7
198.1	115.9
198.1	114.7
198.2	114.1
198.4	115.3
198.4	115.3
198.6	115.3
198.7	116.5
198.8	116.5
198.8	116.5
198.9	115.3
198.9	114.1
199.1	114.1
199.2	115.3
199.3	117.1
199.5	117.1
199.6	117.1
199.6	117.1
199.7	117.1
199.8	115.3
199.9	114.1
200	112.9
200	112.3
200	111.7
200.3	110
200.4	112.3
200.4	112.9
200.6	112.3
200.6	113.5
200.7	114.7
200.9	116.5
200.9	115.3
200.9	112.3
200.9	110
200.9	108.8
200.9	107.6
201	105.8
201	104.6
201.2	104
201.3	105.8
201.4	106.4
201.4	108.2
201.4	108.8
201.6	110
201.7	109.4
201.8	108.2
201.8	107
201.9	105.8
201.9	105.8
202	105.8
202.1	106.4
202.3	105.8
202.3	103.4
202.4	102.8
202.6	102.2
202.7	102.8
202.9	105.2
203	107
203.2	108.8
203.4	110.6
203.5	111.7
203.7	115.3
203.8	116.5
203.8	115.3
203.8	114.7
203.8	114.1
203.9	114.1
204	114.7
204.1	115.9
204.2	118.9
204.2	118.9
204.2	120.7
204.2	122.5
204.3	123.7
204.3	123.7
204.5	123.1
204.5	118.3
204.6	117.1
204.6	115.9
204.7	112.9
204.7	111.7
204.7	111.1
204.8	109.4
204.9	108.8
205	111.1
205	112.9
205.1	113.5
205.2	114.1
205.3	112.3
205.5	110.6
205.6	107.6
205.6	106.4
205.6	105.8
205.7	103.4
205.8	104
205.8	104.6
205.9	107.6
205.9	109.4
205.9	111.7
206	112.9
206	113.5
206.1	114.7
206.2	115.9
206.2	116.5
206.3	116.5
206.4	114.7
206.4	111.7
206.5	111.1
206.5	109.4
206.5	107
206.6	106.4
206.7	105.8
