"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"607","122.7","9.9","","","",""
"608","122.7","9.5","","","",""
"609","122.7","8.9","","","",""
"610","122.7","8.9","","","",""
"611","123.2","8.9","","","",""
"612","123.2","8.9","","","",""
"613","123.2","9.8","","","",""
"614","123.2","10.1","","","",""
"615","123.4","10.1","","","",""
"616","123.6","10.1","","","",""
"617","123.6","10.4","","","",""
"618","124.2","10.4","","","",""
"619","124.5","9.5","","","",""
"620","124.7","10.1","","","",""
"621","124.7","10.4","","","",""
"622","124.7","10.4","","","",""
"623","125.1","9.9","","","",""
"624","125.4","9.9","","","",""
"625","124.9","11","","","",""
"626","124.9","10","","","",""
"627","125.2","10","","","",""
"628","125.5","10.3","","","",""
"629","125.7","10.7","","","",""
"630","125.7","11.8","","","",""
"631","125.7","12.2","","","",""
"632","125.9","12.2","","","",""
"633","126.1","11.1","","","",""
"634","126.4","10.4","","","",""
"635","126.6","9.8","","","",""
"636","126.8","9.8","","","",""
"637","126.8","10","","","",""
"638","127.2","10","","","",""
"639","127.2","9.4","","","",""
"640","127.2","9.2","","","",""
"641","127.4","9.4","","","",""
"642","127.7","9.7","","","",""
"643","127.9","10","","","",""
"644","128.1","10.3","","","",""
"645","128.6","10.3","","","",""
"646","128.8","10","","","",""
"647","128.8","9.4","","","",""
"648","129","9.4","","","",""
"649","129.2","9.7","","","",""
"650","129.4","10.7","","","",""
"651","129.4","11","","","",""
"652","129.4","11.4","","","",""
"653","129.6","11.8","","","",""
"654","129.9","11.1","","","",""
"655","130.5","11.4","","","",""
"656","130.5","11.8","","","",""
"657","130.5","12.5","","","",""
"658","130.8","12.5","","","",""
"659","130.9","11.4","","","",""
"660","130.9","10.7","","","",""
"661","130.9","9.8","","","",""
"662","131.2","9.2","","","",""
"663","131.2","8.6","","","",""
"664","131.2","8.6","","","",""
"665","131.4","9.1","","","",""
"666","131.6","9.4","","","",""
"667","131.8","10","","","",""
"668","131.8","11","","","",""
