X,Y,MD,Surface,Well
1669092,6401734,251.26,base silurian,Rings-1
1669092,6401734,190.57,base Ireviken,Rings-1
1669092,6401734,-1.14,0m,Rings-1
1651662,6320212,292,2ndmulde,Rojrviken-1
1651662,6320212,313.35,Mulde,Rojrviken-1
1651662,6320212,437.87,mid telychian unconformity?,Rojrviken-1
1651662,6320212,239.34,linde?,Rojrviken-1
1651662,6320212,115.36,Lau,Rojrviken-1
1651662,6320212,378.25,Ireviken peak 7,Rojrviken-1
1651662,6320212,383.67,Ireviken peak 6,Rojrviken-1
1651662,6320212,387.63,Ireviken peak 5,Rojrviken-1
1651662,6320212,395.06,Ireviken peak 4,Rojrviken-1
1651662,6320212,399.18,Ireviken peak 3,Rojrviken-1
1651662,6320212,403.52,Ireviken peak 2,Rojrviken-1
1651662,6320212,407.86,Ireviken peak 1,Rojrviken-1
1651662,6320212,445.27,base telychian,Rojrviken-1
1651662,6320212,451.23,base silurian,Rojrviken-1
1651662,6320212,411.17,base Ireviken,Rojrviken-1
1651662,6320212,-1.14,0m,Rojrviken-1
1645974,6370177,223.28,base silurian,Sanda-1
1645974,6370177,200.4,base Ireviken,Sanda-1
1645974,6370177,0,0m,Sanda-1
1664442,6350284,191.5,2ndmulde,Sgides-1
1664442,6350284,225.24,Mulde,Sgides-1
1664442,6350284,336.23,mid telychian unconformity?,Sgides-1
1664442,6350284,97.2,linde?,Sgides-1
1664442,6350284,281.12,Ireviken peak 7,Sgides-1
1664442,6350284,289.18,Ireviken peak 6,Sgides-1
1664442,6350284,295.81,Ireviken peak 5,Sgides-1
1664442,6350284,301.41,Ireviken peak 4,Sgides-1
1664442,6350284,306.15,Ireviken peak 3,Sgides-1
1664442,6350284,310.46,Ireviken peak 2,Sgides-1
1664442,6350284,314.04,Ireviken peak 1,Sgides-1
1664442,6350284,341.63,base telychian,Sgides-1
1664442,6350284,348.89,base silurian,Sgides-1
1664442,6350284,318.46,base Ireviken,Sgides-1
1664442,6350284,0,0m,Sgides-1
1654208,6319914,307.5,2ndmulde,Sindarve-1
1654208,6319914,329.52,Mulde,Sindarve-1
1654208,6319914,456.21,mid telychian unconformity?,Sindarve-1
1654208,6319914,259.4,linde?,Sindarve-1
1654208,6319914,133.28,Lau,Sindarve-1
1654208,6319914,395.47,Ireviken peak 7,Sindarve-1
1654208,6319914,400.02,Ireviken peak 6,Sindarve-1
1654208,6319914,404.93,Ireviken peak 5,Sindarve-1
1654208,6319914,412.11,Ireviken peak 4,Sindarve-1
1654208,6319914,415.91,Ireviken peak 3,Sindarve-1
1654208,6319914,419.84,Ireviken peak 2,Sindarve-1
1654208,6319914,423.47,Ireviken peak 1,Sindarve-1
1654208,6319914,474.3,base telychian,Sindarve-1
1654208,6319914,484.82,base silurian,Sindarve-1
1654208,6319914,426.79,base Ireviken,Sindarve-1
1654208,6319914,0,0m,Sindarve-1
1658244,6398940,233.86,base silurian,Skaggs-1
1658244,6398940,173.53,base Ireviken,Skaggs-1
1658244,6398940,0,0m,Skaggs-1
1645247,6329560,197,2ndmulde,Skals-1
1645247,6329560,224.88,Mulde,Skals-1
1645247,6329560,336.69,mid telychian unconformity?,Skals-1
1645247,6329560,119.31,linde?,Skals-1
1645247,6329560,33.74,Lau,Skals-1
1645247,6329560,283.58,Ireviken peak 7,Skals-1
1645247,6329560,290.6,Ireviken peak 6,Skals-1
1645247,6329560,296.05,Ireviken peak 5,Skals-1
1645247,6329560,299.63,Ireviken peak 4,Skals-1
1645247,6329560,304.52,Ireviken peak 3,Skals-1
1645247,6329560,307.92,Ireviken peak 2,Skals-1
1645247,6329560,311.24,Ireviken peak 1,Skals-1
1645247,6329560,352.64,base telychian,Skals-1
1645247,6329560,360.73,base silurian,Skals-1
1645247,6329560,315.41,base Ireviken,Skals-1
1645247,6329560,-0.08,0m,Skals-1
1649541,6332097,196,2ndmulde,Skarsbod
1649541,6332097,236.62,Mulde,Skarsbod
1649541,6332097,340.91,mid telychian unconformity?,Skarsbod
1649541,6332097,132.89,linde?,Skarsbod
1649541,6332097,290.71,Ireviken peak 7,Skarsbod
1649541,6332097,296.98,Ireviken peak 6,Skarsbod
1649541,6332097,304.64,Ireviken peak 5,Skarsbod
1649541,6332097,309.35,Ireviken peak 4,Skarsbod
1649541,6332097,312.3,Ireviken peak 3,Skarsbod
1649541,6332097,314.99,Ireviken peak 2,Skarsbod
1649541,6332097,318.35,Ireviken peak 1,Skarsbod
1649541,6332097,343.97,base telychian,Skarsbod
1649541,6332097,350.21,base silurian,Skarsbod
1649541,6332097,324.18,base Ireviken,Skarsbod
1649541,6332097,0,0m,Skarsbod
1648178,6319293,278,2ndmulde,Storms-1
1648178,6319293,300.01,Mulde,Storms-1
1648178,6319293,425.18,mid telychian unconformity?,Storms-1
1648178,6319293,226.72,linde?,Storms-1
1648178,6319293,98.52,Lau,Storms-1
1648178,6319293,364.55,Ireviken peak 7,Storms-1
1648178,6319293,369.53,Ireviken peak 6,Storms-1
1648178,6319293,374.52,Ireviken peak 5,Storms-1
1648178,6319293,381.84,Ireviken peak 4,Storms-1
1648178,6319293,384.88,Ireviken peak 3,Storms-1
1648178,6319293,389.11,Ireviken peak 2,Storms-1
1648178,6319293,394.1,Ireviken peak 1,Storms-1
1648178,6319293,432.27,base telychian,Storms-1
1648178,6319293,440.17,base silurian,Storms-1
1648178,6319293,396.47,base Ireviken,Storms-1
1648178,6319293,0,0m,Storms-1
1644533,6314706,276,2ndmulde,Sundre-1_A
1644533,6314706,298,Mulde,Sundre-1_A
1644533,6314706,431.53,mid telychian unconformity?,Sundre-1_A
1644533,6314706,228,linde?,Sundre-1_A
1644533,6314706,99,Lau,Sundre-1_A
1644533,6314706,365.78,Ireviken peak 7,Sundre-1_A
1644533,6314706,370.65,Ireviken peak 6,Sundre-1_A
1644533,6314706,376.57,Ireviken peak 5,Sundre-1_A
